name,sku,base_price,category_slug,stock,description,short_description
Collar de Yemayá - 7 hilos azules y cristal,PY-COLL-01,650.00,collares,40,Collar tradicional consagrado a Yemayá tejido con 7 hilos de cuentas azules y cristal transparente que evocan la espuma del mar. Cada hilo se anuda con oraciones y se sella con cuentas mayores. Pieza ceremonial para devotos de la madre de las aguas.,Collar ceremonial de Yemayá con cuentas azules y cristal.
Collar de Oshún - cuentas ámbar y miel,PY-COLL-02,720.00,collares,35,Eleke de Oshún elaborado con cuentas color ámbar y amarillo miel intercaladas con detalles de coral. Pieza vinculada al ashé de la dueña del río y del amor. Tejido a mano en hilo encerado con cierre tradicional.,Eleke de Oshún en tonos ámbar y miel.
Collar de Changó - rojo y blanco alternado,PY-COLL-03,680.00,collares,30,Eleke de Changó tejido con cuentas rojas y blancas alternadas que representan el fuego y la justicia del rey de Oyó. Pieza tradicional Lukumí usada por iniciados del orisha.,Collar tradicional de Changó rojo y blanco.
Collar de Obatalá - cuentas blancas de nácar,PY-COLL-04,890.00,collares,25,Eleke de Obatalá confeccionado con cuentas blancas opalinas y detalles de nácar. Símbolo del padre creador y la pureza. Tejido a mano con hilo blanco bendecido.,Eleke de Obatalá en cuentas blancas opalinas.
Collar de Ogún - verde y negro guerrero,PY-COLL-05,640.00,collares,28,Eleke de Ogún tejido con cuentas verdes y negras alternadas que evocan la fragua y el monte. Pieza ceremonial para hijos del orisha guerrero dueño del hierro.,Collar de Ogún en verde y negro.
Collar de Eleguá - rojo y negro,PY-COLL-06,590.00,collares,45,Eleke de Eleguá en cuentas rojas y negras que representan los caminos y la encrucijada. Primer collar que recibe el iniciado en la regla de Ocha.,Collar de Eleguá en rojo y negro.
Collar de Oyá - 9 colores del arcoíris,PY-COLL-07,750.00,collares,20,Eleke de Oyá elaborado con cuentas de nueve colores que representan los vientos y las centellas. Pieza ceremonial para hijos de la dueña del cementerio.,Collar de Oyá con cuentas de nueve colores.
Collar de Babalú Ayé - morado y blanco,PY-COLL-08,710.00,collares,18,Eleke de Babalú Ayé tejido con cuentas moradas y blancas, evocando al orisha de la salud y la curación. Pieza tradicional con detalles de yute.,Collar de Babalú Ayé morado y blanco.
Collar de Yemayá Asesú - azul profundo,PY-COLL-09,820.00,collares,15,Variante del collar de Yemayá en su camino Asesú con cuentas azul profundo y detalles plateados. Para devotos del camino de las aguas turbias.,Eleke de Yemayá Asesú azul profundo.
Pulsera de Eleguá - cuentas rojo y negro,PY-PULS-01,180.00,pulseras,80,Idé de Eleguá tejido con cuentas rojas y negras alternadas. Se porta en la muñeca izquierda para proteger los caminos. Pieza ceremonial Lukumí.,Pulsera de Eleguá protectora de caminos.
Pulsera de Oshún - ámbar con coral,PY-PULS-02,210.00,pulseras,70,Idé de Oshún en cuentas ámbar con detalles de coral natural. Pieza de protección y atracción del amor. Tejido a mano.,Pulsera de Oshún en ámbar y coral.
